cell_type,marker
B_cells,GPR183
B_cells,CD69
B_cells,TAF1D
B_cells,DNAJC10
B_cells,SP100
B_cells,ST6GAL1
B_cells,ARID5B
B_cells,RB1
B_cells,NCF1
B_cells,NCF1
B_cells,CXCR4
B_cells,LEMD3
B_cells,MDS2
B_cells,SOBP
B_cells,APPL1
B_cells,WDR34
B_cells,HSPA13
B_cells,HLA-DMA
B_cells,NUAK2
B_cells,MORN2
B_cells,TLR10
B_cells,PCDH9
B_cells,C17orf67
B_cells,CD19
B_cells,C16orf74
B_cells,RNASE6
B_cells,LY9
B_cells,CSNK1G3
B_cells,RASGRP3
B_cells,PHACTR1
B_cells,ASB13
B_cells,TCF4
B_cells,PNOC
B_cells,TKFC
B_cells,FAM129C
B_cells,CCR6
